feature,coefficient,abs_coefficient
TDRD1 (56165),0.016281771325321572,0.016281771325321572
RPS26 (6231),0.016241806109908788,0.016241806109908788
EDEM3 (80267),-0.016216374413661538,0.016216374413661538
C16orf82 (162083),-0.016151297167684184,0.016151297167684184
SLC4A1 (6521),-0.016111609279771108,0.016111609279771108
CHST11 (50515),-0.016029300031595632,0.016029300031595632
IL1R1 (3554),0.01599632130661085,0.01599632130661085
PPEF2 (5470),0.01598584650523195,0.01598584650523195
RAPGEF1 (2889),0.015984561321536844,0.015984561321536844
HTR2B (3357),-0.015962942603247914,0.015962942603247914
CKLF (51192),-0.015955414696986393,0.015955414696986393
SLC47A1 (55244),0.015941386149254916,0.015941386149254916
MINAR1 (23251),0.015899246873494404,0.015899246873494404
OR2A2 (442361),0.01586622452731828,0.01586622452731828
S100A4 (6275),-0.015831321639821917,0.015831321639821917
AVPR1A (552),0.01579495692852712,0.01579495692852712
CTNND2 (1501),0.01574289002987716,0.01574289002987716
DUOXA1 (90527),-0.015690240124706295,0.015690240124706295
ZNF717 (100131827),-0.015685769161353107,0.015685769161353107
DNAJC5G (285126),-0.015676753104008807,0.015676753104008807
ZNF716 (441234),0.015574255611504884,0.015574255611504884
MS4A12 (54860),-0.015544735959642045,0.015544735959642045
ASB5 (140458),0.015496901331113713,0.015496901331113713
SLC1A2 (6506),0.015458230928119874,0.015458230928119874
PLEKHA3 (65977),0.015361058459280572,0.015361058459280572
BYSL (705),0.01532496828948826,0.01532496828948826
CPOX (1371),-0.015180176916090176,0.015180176916090176
OOSP3 (112577461),-0.015156026686366689,0.015156026686366689
RNPEP (6051),-0.01515285430769649,0.01515285430769649
FCER1G (2207),-0.015093217566347558,0.015093217566347558
GSTP1 (2950),-0.015091998185438334,0.015091998185438334
ALDH6A1 (4329),0.015061710377960048,0.015061710377960048
ROMO1 (140823),0.014934388204430282,0.014934388204430282
SGPP1 (81537),0.014923889459320747,0.014923889459320747
GPR65 (8477),-0.014838930964226501,0.014838930964226501
ODR4 (54953),-0.014772201035306172,0.014772201035306172
GCNT4 (51301),0.014757297032186836,0.014757297032186836
PDXDC1 (23042),0.014685786511649418,0.014685786511649418
SHCBP1L (81626),-0.014671239307581197,0.014671239307581197
HTRA4 (203100),0.014662935903016991,0.014662935903016991
OR52N2 (390077),-0.014653799891070414,0.014653799891070414
AQP5 (362),0.014577766566988769,0.014577766566988769
PSKH2 (85481),0.014530691589632232,0.014530691589632232
RALB (5899),-0.014526033437565346,0.014526033437565346
ZNF679 (168417),0.01451834008443166,0.01451834008443166
UCP1 (7350),0.014463659455600667,0.014463659455600667
TXNDC8 (255220),0.014374983076908297,0.014374983076908297
NADSYN1 (55191),-0.014360309955490693,0.014360309955490693
DEFB4B (100289462),0.014357545921537151,0.014357545921537151
CA4 (762),0.014340130271549786,0.014340130271549786
CRLF2 (64109),0.01432488681522133,0.01432488681522133
OR4X1 (390113),0.014318731131942434,0.014318731131942434
EPS8L1 (54869),-0.014298993362696953,0.014298993362696953
ANGPTL8 (55908),-0.014292901396259433,0.014292901396259433
DEPDC7 (91614),-0.014227956135627518,0.014227956135627518
TAS2R1 (50834),0.014216232124516816,0.014216232124516816
FAM90A14 (645651),0.014103756152411644,0.014103756152411644
CTNNAL1 (8727),0.014077523202940636,0.014077523202940636
TMEM185B (79134),-0.014012265093154022,0.014012265093154022
OR5P2 (120065),-0.013980868444133794,0.013980868444133794
SH3GL3 (6457),0.013977305833329266,0.013977305833329266
EEPD1 (80820),-0.013944142253787319,0.013944142253787319
ZRANB3 (84083),-0.013931476616235365,0.013931476616235365
FNDC11 (79025),0.013924893357307068,0.013924893357307068
ACP5 (54),-0.013924307032385138,0.013924307032385138
PON1 (5444),-0.013830440317069235,0.013830440317069235
OR4X2 (119764),-0.013726938566226483,0.013726938566226483
BRWD1 (54014),0.01362783445499513,0.01362783445499513
CXorf51A (100129239),0.01358979415676392,0.01358979415676392
SCGB1C1 (147199),0.01358012673558973,0.01358012673558973
TMEM101 (84336),-0.01345288185973005,0.01345288185973005
PAEP (5047),0.01338671910475608,0.01338671910475608
REG1A (5967),0.013385998642763523,0.013385998642763523
VAMP1 (6843),0.01335918369782286,0.01335918369782286
XIRP2 (129446),-0.013356281432900349,0.013356281432900349
PARD6B (84612),0.013356033852296582,0.013356033852296582
PDE6G (5148),0.013303475064240615,0.013303475064240615
OR1G1 (8390),-0.013300615440256762,0.013300615440256762
PCDH20 (64881),-0.013289292384876248,0.013289292384876248
OR13J1 (392309),0.013263897410730644,0.013263897410730644
HMCN2 (256158),0.013231598668446582,0.013231598668446582
UNC119 (9094),0.013146290454508184,0.013146290454508184
CYP1B1 (1545),0.013104569422090656,0.013104569422090656
RNASE10 (338879),0.012919101107983968,0.012919101107983968
OPN1MW3 (101060233),0.012891032508740567,0.012891032508740567
CCDC188 (388849),-0.012873079760257164,0.012873079760257164
EIF4E2 (9470),-0.012870360671043347,0.012870360671043347
OR2J3 (442186),-0.012856571787319573,0.012856571787319573
LZTS3 (9762),0.012840804956758194,0.012840804956758194
CLDN24 (100132463),-0.01278258182178231,0.01278258182178231
TBC1D22B (55633),0.012781389523455613,0.012781389523455613
AGA (175),-0.012678958322290847,0.012678958322290847
JAKMIP1 (152789),0.012604216536494071,0.012604216536494071
SLC44A4 (80736),0.012558504572160942,0.012558504572160942
CDK10 (8558),-0.012556516485239748,0.012556516485239748
SLC66A2 (80148),0.012516662438407575,0.012516662438407575
CDR2L (30850),0.012507982235674328,0.012507982235674328
BPNT1 (10380),-0.012443442611782842,0.012443442611782842
LYZL1 (84569),0.012415055384335369,0.012415055384335369
ITIH6 (347365),-0.012365164937644377,0.012365164937644377
RNF103 (7844),0.012342789685582722,0.012342789685582722
PTPN5 (84867),0.012326895384019846,0.012326895384019846
INSL6 (11172),0.012272583071914662,0.012272583071914662
C14orf119 (55017),-0.012244527039532188,0.012244527039532188
COMP (1311),-0.012239935890568168,0.012239935890568168
GMIP (51291),-0.01223661170135657,0.01223661170135657
RXRG (6258),-0.012197273929840345,0.012197273929840345
MRPL15 (29088),0.01216192808890927,0.01216192808890927
SDK2 (54549),0.01212022665101057,0.01212022665101057
SGPP2 (130367),0.012095745292232764,0.012095745292232764
COMMD4 (54939),-0.012086628237638451,0.012086628237638451
FTSJ1 (24140),0.012080452695297715,0.012080452695297715
ZNHIT6 (54680),0.012053894577369596,0.012053894577369596
SNX18 (112574),-0.012026393991732866,0.012026393991732866
SIM1 (6492),0.011997844261058394,0.011997844261058394
EBF2 (64641),0.011925019987196724,0.011925019987196724
WWP2 (11060),-0.011861849788913937,0.011861849788913937
KRTAP27-1 (643812),0.011778971501654415,0.011778971501654415
C2CD4D (100191040),-0.011772915553515636,0.011772915553515636
KASH5 (147872),-0.011772103945324899,0.011772103945324899
OR9K2 (441639),0.011752665509585659,0.011752665509585659
PMM2 (5373),0.011711906862033956,0.011711906862033956
TRPC3 (7222),0.011673485933004938,0.011673485933004938
FABP6 (2172),-0.011669531696648642,0.011669531696648642
ZDBF2 (57683),-0.011609517786196804,0.011609517786196804
ENKD1 (84080),-0.011561640831807945,0.011561640831807945
OBP2B (29989),0.011561333517726077,0.011561333517726077
GPR75 (10936),0.01138407288790591,0.01138407288790591
HAL (3034),-0.011322315730044993,0.011322315730044993
THRSP (7069),0.011288596798036985,0.011288596798036985
KCP (375616),0.01123702492124292,0.01123702492124292
TET2 (54790),0.011211209572207404,0.011211209572207404
TMCO5A (145942),-0.011166770027202358,0.011166770027202358
